gp,rmse_local,mae_local,r2_local
Abu Dhabi Grand Prix,0.6630686025338196,0.1920961267247911,0.9846309567220257
Australian Grand Prix,1.1624018852218843,0.552676674304281,0.9914675953055999
Austrian Grand Prix,0.9309518694403661,0.3126976518950354,0.9939202821457019
Azerbaijan Grand Prix,0.5327053082174337,0.22356532236368004,0.9964658590823097
Bahrain Grand Prix,1.1246336858961976,0.31733665335079636,0.9849244455856476
Belgian Grand Prix,0.8667379190553993,0.44609442314640996,0.9897291267912942
British Grand Prix,0.6810648202519561,0.3205438600091505,0.9974609748548432
Canadian Grand Prix,1.3135356658988817,0.40052163446411,0.9885521923274867
Dutch Grand Prix,0.9106560395953938,0.4685409032367054,0.9961309115845173
Hungarian Grand Prix,0.6281512506085767,0.23351037444994838,0.994218997592643
Italian Grand Prix,0.6293244098810724,0.2010555632649841,0.9924407262998719
Japanese Grand Prix,0.6465977591709628,0.2523913880075945,0.9957332343535201
Las Vegas Grand Prix,0.9213603372251251,0.4545361712101015,0.9941762977913859
Mexico City Grand Prix,0.7307383400138387,0.25333663446587756,0.9949808988534201
Miami Grand Prix,1.3198351508715898,0.3758602434730702,0.9739363500297517
Monaco Grand Prix,0.6788312728555745,0.33918216747731,0.9966487119771258
Pre-Season Testing,0.6810648202519561,0.3205438600091505,0.9974609748548432
Qatar Grand Prix,0.7990937537542844,0.316088404959674,0.9970101396206368
Saudi Arabian Grand Prix,2.238188495206321,0.5863103031515756,0.9666961595789594
Singapore Grand Prix,1.095520632619814,0.2935730373055844,0.9893913679680091
Spanish Grand Prix,1.3045490137904887,0.25527489930545716,0.9792708797560029
São Paulo Grand Prix,1.1310423611228098,0.3760337214939955,0.9884599760121849
United States Grand Prix,0.48882814705408434,0.1887954545089939,0.9949724884124946
